Company,Tweet Date,Focus,ARR/Revenue,Growth,Funding Round,Investors,Now Raising
NewLimit (@newlimit),2025-07-21,Extending human health span (founded by @brian_armstrong and @byersblake),Not specified,Not specified (significant breakthrough noted),Raising at $1.5B+ valuation (up from May Series B at $800M),Pharma strategics leading,Yes
Cognition (@cognition_labs),2025-07-21,Unspecified (likely AI-related),Not specified,Not specified,Raising at $10B valuation (speculated),Not specified,Yes (implied)
Pagaleve (@pagaleve),2025-06-05,Buy-now-pay-later (BNPL) and commerce fintech for Brazil,~$21M ARR,"+7x YoY, profitable",Raising $20–$30M Series B,Not specified,Yes
Crescendo,2025-06-04,AI customer experience (CX) platform,"$91M ARR in ~15 months, profitable",Not specified (implied rapid growth),$100M round coming together (unspecified series),Previous Series C at $500M led by General Catalyst (@generalcatalyst),Yes
The Collagen Co (us.thecollagen.co),2025-06-03,Collagen supplements (Best Tasting Collagen Supplement),"2023: $9M revenue, $100K EBITDA; 2024: $45M revenue, $5M EBITDA; 2025E: $91M revenue, $10M EBITDA","~5x revenue from 2023 to 2024, ~2x from 2024 to 2025E","Bootstrapped, raising first round",None (bootstrapped),Yes
Nelo (nelo.mx),2025-06-03,Commerce fintech for Latin America,"~$50M revenue run-rate, $15M gross profit, $5M net income",+2x YoY,Unspecified (likely raising),"Previous rounds led by Two Sigma (@twosigma), Homebrew (@homebrew)",Yes (implied)
Valence (valence.co),2025-06-02,AI coach for managers,"$12M ARR, $20M 2025E","3x YoY, 150%+ net retention rate (NRR)",Raising ~$40M Series B (pre-emption interest),"Previous $25M from Insight Partners (@insightpartners), $12M+ in bank",Yes
Flex (@FlexSuperApp),2025-06-02,Business and personal finance platform,$35M ARR (up from $27M in March),+4x YoY,"Unspecified (likely raising, previous $225M: $25M equity from Titanium, others; $200M debt from Victory Park)","Titanium, Victory Park, others (previous rounds)",Yes (implied)
Autopilot (@PelosiTracker_),2025-05-30,Automated copy trading platform,~$11M ARR,+90% QoQ AUM growth,Raising $20M Series A,Not specified,Yes
Halter (@halterHQ),2025-05-29,The Apple of Cow Collars (agtech for livestock management),~$36M ARR,~2x YoY,Closed $100M at $1B post-money valuation,Led by Bond Capital (@bondcap),No
EnduroSat (@EnduroSat),2025-05-28,Satellite components and bus (Dell for Satellites),"Not specified (high EBITDA margin, higher than many AI SaaS companies)",Not specified,Closed $49M Series B,Led by Founders Fund (@foundersfund),No
Acryl Data (@DataHubCloud),2025-05-21,Open-source metadata platform,$10M ARR,+2x YoY,Closed $35M Series B at $130M pre-money valuation,Led by Bessemer Venture Partners (@BessemerVP),No
"Datacurve AI (@datacurve_ai, YC W24)",2025-05-21,Premium curated coding data for applications and LLMs,~$9M ARR in 13 months,Not specified,Closed $14M Series A at $150M valuation,Led by Chemistry Fund (@chemistry_fund),No
